"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on August 24, 2021","kaceylee","yes","yes","Please Be Careful. Ended up in hospital","Stuck to 4.5 year olds inside of ear. We tried to remove but child was nervous about us touching his ear. Went to ER same night and they pushed it deeper. Went to ENT and he could not get it out. At this point close to our child’s ear drum. We ended up having to sedate a young child as advised by specialist to remove. Terrible time to have to go to the hospital during high cases of COVID. Then, we had to wait bc of limited availability. So this stone was stuck in his ear for a few days causing bleeding and pain. I don’t advise unless this is for a teenager and no small kids around.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2WJSHSJ4ET3LY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
"Reviewed in the United States on May 29, 2020","Pua","yes","yes","Fun, easy and not worth it","My daughter requested this for her birthday. Honestly it’s just sparkly 3D stickers. With a fancy thing to stamp it on but really you could just peel it off with your finger and stick it anywhere’s adhesive doesn’t last long so these don’t stick to clothes/fabric/shoes etc very long. It lasts a day and the. You have them all over your house 😭. My daughter enjoyed it though but after she used all the stickies in a couple days , it’s pretty much useless now. The refills just aren’t worth it",3,"-","-","https://www.amazon.com/gp/customer-reviews/R2DEWP2EE48ZAB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
"Reviewed in the United States on October 7, 2020","JL JacksonJL Jackson","yes","yes","Not just for kids! perfect to glam up a normal hairstyle","I am obsessed with this product! I got it for a themed day and it was so simple to set up and use. The gems are sticky which I thought was much less damaging to my hair than if they were staples and they stayed in for over 8 hours until I removed them. They were so cute and because they are sticky you can put them other places like on my face in the photo! loved these",5,"https://images-na.ssl-images-amazon.com/images/I/71cBsnuahFL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2KZY8TG7BUVZB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
"Reviewed in the United States on December 29, 2020","Majen","yes","yes","Girls love easy to use Blinger!","The media could not be loaded.                  The Blinger was a gift for my daughter.  The first time I had seen one of these, a friend of hers had brought one to school and she came home with gems on her with a stickiness that seemed to last and last after she had taken it off and stuck it on her forehead, nose and hair.  She then asked for one and my thought was why not if the stones stick that well and for that long even after resticking them.  The Blinger is very easy to use and came with a good amount of gems.  Keep in mind if you walk away from your child without a quick chat first, they can stick them to everything pretty fast and be out of them and ready to ask for more real quick.  My only complaint so far is opening the Blinger to put the disks in.  The instructions say to just pretty much pull it apart. It seems like it’s going to break doing that so, as you can see in the video, I hook my nails in the clear plastic to pull it apart.  It’s awkward but it feels less like I’m going to break the Blinger.  Overall I think it was a good buy and a good gift for my daughter.  She enjoys adding Bling to her hair, shoes, hats, and backpack.  We liked it so much we purchased one for my niece as well!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R333RE6I8JYNNY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
"Reviewed in the United States on May 1, 2020","Amazon Customer","yes","yes","Fun","My four year old seen this on some YouTube video and asked me for it everyday for a week. I got it for her and put it in her Easter basket. It works great on thinner surfaces where you can put the fabric though and snap it. But honestly my daughter was over it pretty quick and just took off the little studs and did it by hand. We did our hair, her camera, and even her backpack. Fun and a bedazzle flashback from my time. Lol.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R369WYWDCIIH1W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
"Reviewed in the United States on October 16, 2020","Echobeauty","yes","yes","Full of pizzazz!!!","Perfect starter kit for any youngster who has a love for pizzazz. Purchased as a gift for a bedazzling 12-year old. Jewels stick very well to practically anything (hair, fabrics, books, etc) and we haven't encountered any problems. The jewels are easily removed from hair by simply combing it out. Instead of throwing out the jewels though, suggest reusing them on books, phone cases and almost anything they want to add sparkle to. They'll go thru the jewel packs like crazy so I highly recommend buying additional jewel packs.NOTE TO PARENTS :: If you don't want it bedazzled, HIDE IT! My niece took to my wallet & fully bedazzled it. It looked like the football from the movie ""The Game Plan."" Wish I took a picture before plucking off the jewels. All in all, it's a great kit that'll make an even better gift.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3LP465YMDLMER/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
"Reviewed in the United States on August 13, 2020","J Dubster","yes","yes","My niece loved this","I know some reviewers said this product is cheap, but man...my niece loved it. She thought it was so cool, which makes me look cool. I'm happy. 5 stars.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2UT3P8MHWNX3T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
"Reviewed in the United States on June 30, 2022","Lauren DubinLauren Dubin","yes","yes","Favorite impulse purchase I’ve ever made","These hair gems are my new favorite thing. The gems are easy to take off but at the same time stay on incredibly well. I had them on my hair the entire weekend and I don’t think a single one fell off! So fun and received compliments everywhere I went.",5,"https://m.media-amazon.com/images/I/71OlpgGmaEL.jpg","-","https://www.amazon.com/gp/customer-reviews/R27Z47DT7902V7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
"Reviewed in the United States on July 7, 2022","Lorie BurkLorie Burk","yes","yes","Received a similar knockoff.","Shipping took much longer than expected and then I received a knockoff instead of what was pictured and reviewed. I decided to keep it anyway but I haven’t used it yet to see if it’s a comparable product. It’s just not what I was expecting. Definitely does not have 225 gems as described either.",2,"https://m.media-amazon.com/images/I/61CB-OZ4rvL.jpg , https://m.media-amazon.com/images/I/71S6jZ5iizL.jpg","-","https://www.amazon.com/gp/customer-reviews/RJEEL39XDZIZQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
"Reviewed in the United States on June 6, 2020","Terena RibeiroTerena Ribeiro","yes","yes","Kids loved it","Easy to use.",5,"https://images-na.ssl-images-amazon.com/images/I/81NGKk6gmbL.jpg","-","https://www.amazon.com/gp/customer-reviews/R27BEU6CAW9SUT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07ZKTBGR2","-","-"
