stars,date,verified_purchase,manufacturer_replied,username,userUrl,title,review,reviewUrl,total_found_helpful,images,variation,videoUrl
5,"Reviewed in the United States 🇺🇸 on March 23, 2023",True,False,WishGigglesWishGiggles,https://www.amazon.com/gp/profile/amzn1.account.AHSH5TTSNEVKK22TJA7EFFQGHIWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,growing well,"it was a little slow starting, but then got going well. The light seems better than the other grow lights I have in my garden room, enough, so I'm able to put some other plants in front of the hydroponic thing to gather up some of the light. I didn't have to do the milar curtain, but I decided to try it this last month, I don't know if it makes a difference or not, it sure isn't hurting it very giftable. I'm very happy with it over all.",https://www.amazon.com/gp/customer-reviews/R29SS237COCS3A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,,['https://m.media-amazon.com/images/I/7155inkmOpL.jpg'],{'Color': 'Black'},
5,"Reviewed in the United States 🇺🇸 on March 10, 2023",True,False,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFWY34GQRC2FEFJDM7WJOKUSIUXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great starter,"This table top garden is the perfect way to begin the learning process of hydroponic gardening. I received it as a gift and it came with a damaged component from shipping. I emailed the seller and received a response within a couple of hours. By the next day, I got a confirmation of shipping and had the replacement within a couple days. Not only is this a good product, but the company is a class act.When I see such stellar reviews I am often skeptical, but this is a true testament.",https://www.amazon.com/gp/customer-reviews/R1MTT3E123IK5P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,1.0,[],{'Color': 'Black'},
5,"Reviewed in the United States 🇺🇸 on March 23, 2023",True,False,Guillermo,https://www.amazon.com/gp/profile/amzn1.account.AHNB7GW6LXTS7JEQH4YNVMIBAZKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Can’t wait for my fresh herbs,"The product is visually pleasing, fits right over the counter near the stove for easy access to fresh herbs and salads. This item  doubles as a security light at night. My kitchen is lit up from 4 pm to 8 Am. Now I don’t need to have timers on lamps  or leave lights on. A perfect gift.",https://www.amazon.com/gp/customer-reviews/R2TW8S1LM5RZYO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,,[],{'Color': 'Black'},
4,"Reviewed in the United States 🇺🇸 on February 4, 2023",True,False,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AGGTF4UR3VU6AFGIJ6VN5XQUOOSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Customer service is great,"My light panel stopped working 9 months after I bought it. Emailed customer service and they sent a replacement light panel, which also did not work. They sent a new unit to me. Very inconvenient and my plants are not doing well through this BUT customer service is amazing.",https://www.amazon.com/gp/customer-reviews/R13Y7CBHJRHF76/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,5.0,[],{'Color': 'Black'},
4,"Reviewed in the United States 🇺🇸 on January 30, 2023",True,False,Loretta Steward,https://www.amazon.com/gp/profile/amzn1.account.AGTJOUTYBLXEDCAJTJ7WKM5NTBFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,I like the brightness of the lights,The seeds take over a week to germinate.  I thought they would germinate quicker.  Also the sponges turn green pretty quickly.  I thought they could be reuseable but they are not.  Otherwise I do like the product and so does my guinea pig.,https://www.amazon.com/gp/customer-reviews/RCWF7MDCWOD5N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,1.0,[],{'Color': 'Black'},
4,"Reviewed in the United States 🇺🇸 on November 30, 2022",True,False,Love to shop,https://www.amazon.com/gp/profile/amzn1.account.AHT3NR4IFNG2OHUZYAZMKMBXSLKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Their warranty work is amazing.,"I purchased the qyo hydroponics grow kit. It was easy to setup following the instructions. I rotated seedlings all spring/summer. I'd start my seeds in hydroponics and than transfer them to their own pot to continue growing and than out to the garden!Unfortunately it stopped working and I put it away. I missed planting so I contacted Qyo and since it was still under warranty, they are sending me a new one! I'm so happy. I don't normally bother with customer service/warranty work because it's too complicated and I get pissed. JENNIE at customer service was so helpful, didn't make me feel guilty for asking for the warranty coverage. She was so helpful.I really suggest purchasing this product over others such as the Aero garden. This product has more planting room for 1/3rd the cost.",https://www.amazon.com/gp/customer-reviews/RY44OLI78VFTW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,29.0,[],{'Color': 'Black'},
5,"Reviewed in the United States 🇺🇸 on February 25, 2023",True,False,Dr. L,https://www.amazon.com/gp/profile/amzn1.account.AEOFE5333HO25I6D3EK74VLR35BQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Loved it until it stopped in 6 months but customer service stands by their stuff!,"We bought our first 1 in April of 2022 and loved it so we bought our 2nd in June 2022. Unfortunately, although we love the product, the lights now longer power on and it’s useless.Update: QYO customer service was timely and responsive!!! No hassle, no questions asked replacement. You can’t go wrong with this purchase!",https://www.amazon.com/gp/customer-reviews/R1G0APGD8A4RK2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,2.0,[],{'Color': 'Black'},
4,"Reviewed in the United States 🇺🇸 on December 14, 2022",True,False,Nicholas,https://www.amazon.com/gp/profile/amzn1.account.AFUFMXEMIEN6RCWEQNWYTDSTO7WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Good product, broke, good Customer Service","I got mine several months ago. It worked great! My plants grew like crazy, it was easy to use, and I loved it.A few weeks ago, it just suddenly stopped working. I contact Customer Support and they were terrific.After walking through several steps to make sure I just wasn't being dumb, they sent a new one.This new one is great. I made sure to wait several weeks before writing this review to ensure the second one still worked. It does. Going strong and growing all sorts of veggies for me.",https://www.amazon.com/gp/customer-reviews/R37A8QFEAG0IWP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,9.0,[],{'Color': 'Black'},
5,"Reviewed in the United States 🇺🇸 on March 20, 2023",True,False,Christina,https://www.amazon.com/gp/profile/amzn1.account.AG6VJUS5562BNBBZ75HCEMUWTIFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,growing starters and cuttings!,Pump doesn't seem to circulate to the far side very well.,https://www.amazon.com/gp/customer-reviews/R1XJR2T6HPQA0Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,,[],{'Color': 'Black'},
5,"Reviewed in the United States 🇺🇸 on March 25, 2023",True,False,R3D,https://www.amazon.com/gp/profile/amzn1.account.AGQEY2ECQRHHFHHL5UNZGZP3U6PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Amazing Product,Amazing Product. Great Buy!,https://www.amazon.com/gp/customer-reviews/R2JOEXRVUINMD5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,,[],{'Color': 'Black'},
